closure_type,count
drawstring,3077
button,590
Button Closure,461
Zip Closure,433
Drawstring,418
zip,366
Laces,226
none,179
laces,176
Zip Fly,161
Adjustable Back Tab,145
Button,120
Lace Closure,114
Lace Up,108
Elasticated Waist,98
Elasticated Drawstring Waist,88
buttons,87
zipper,78
zip closure,69
lace,67
button closure,67
elasticated waist,56
Button Fly,54
Drawstring Waist,47
Snap Button Closure,42
lace up,41
lace-up,41
Zip,41
2 Way Zip Closure,40
Zipper,38
Zip & Button Fly,36
slip-on,36
Elasticated Waistband,32
elasticated drawstring waist,31
snap button,31
button down,28
zip fly,27
Elasticated Drawstring Waistband,26
half zip,26
Press Stud Closure,25
Drawstring Hood,24
elasticated waistband,22
Buttons,22
Clasp Closure,22
Front Zip Closure,22
Adjustable Back Strap,21
pullover,21
Zip & Button Closure,20
Front Button Closure,19
2-Way Zip Closure,19
3 Button Placket,19
Lace,19
Lace-up,19
Adjustable Strap,19
button placket,18
adjustable back tab,17
Main Zip Closure,16
Snap Button,15
Lobster Clasp,15
Press Stud,14
quarter zip,14
Button Down,14
Main Zip Compartment,14
Velcro,14
buckle,14
½ Zip Closure,14
¼ Zip Closure,13
2 Button Placket,13
Integrated Belt,13
lace closure,13
Button and Zip Closure,13
Slip On,12
2 Way Zip,12
pull-over,12
Zip Fly & Button Closure,11
"Button Closure, Zip Fly",11
Buckle,11
Lace-Up,10
Elasticated Drawstring,9
elasticated drawstring,9
front zip,9
Drawstring Waistband,9
Button Placket,9
zip fastening,9
Slip-on,8
slip on,7
strap,7
front button closure,7
Zip Closure & Storm Flap,7
concealed button,7
Zip & Snap Button,7
MagSlider™ Lid,7
Concealed Button Closure,6
adjustable strap,6
Lace Up Closure,6
elastic waistband,6
Clasp Buckle,6
drawstring waist,6
Heel Strap,6
Button and zipper,6
Drawstring Closure,6
1/2 Zip Closure,6
Two Way Zip Closure,6
front button,6
Button and Zip Fly,6
2-Way Zip,6
Zip & Snap Button Closure,5
Zip Fastening,5
Two Button Placket,5
YKK Zip Closure,5
"Zip Fly, Button Closure",5
Adjustable Buckle Strap,5
integrated webbing belt,5
Half Zip Closure,5
Roll Top Closure,5
drawcord,4
adjustable drawstring,4
two button placket,4
Lid,4
Buckle Closure,4
Drawcord,4
snap button closure,4
zippers,4
concealed button closure,4
full zip,4
zippered,4
Mother of Pearl Button Closure,4
Quick Release Swivel Carabiner,4
Zip and Button Fly,4
heel strap,4
integrated belt,4
Carabiner Closure,4
Lobster Clasp Closure,4
Quicklace® Closure,4
Button and Zip,4
Three-Fold Clasp,4
concealed zip,4
Half Zip,4
3-Button Placket,4
Velcro Straps,4
Clasp,4
Button & Zip Closure,4
Top Zip Closure,4
Front Zip,4
Quicklace® System,3
Button and YKK Zip Fly,3
mother of pearl button,3
adjustable buckle,3
Front Snap Button Closure,3
Quicklace®,3
5 Button Placket,3
Cotton Lace Up,3
main zip compartment,3
zipped,3
Branded Integrated Belt,3
4 Snap Button Placket,3
Adjustable Velcro Strap,3
Button Closures,3
Concealed Zip Fly,3
button fly,3
Screw Top Lid,3
clasp,3
Zip Pocket,3
Zip & Button,3
1/2 Zip,3
Concealed Button Placket,3
magnetic flap,3
Quick Lace System,3
adjustable back strap,3
adjustable waist,3
Zippered Main Compartment,3
Two-Way Zip Closure,3
Snapback,3
Mother-of-Pearl Buttons,3
side zip,3
corozo button,3
TSA Lock,3
elasticated drawstring waistband,3
Belt Loops,3
Screw cap,3
pull over,3
lobster clasp,3
Button & Zip,2
Zip-Fly,2
Elastic Waistband,2
2-Way Zip Fastening,2
Concealed Front Button Closure,2
"Button Fastening, Zip Fly",2
2-Way Zipper,2
buttoned,2
mother-of-pearl buttons,2
zip & snap button,2
Concealed Zip Closure,2
velcro,2
Belted Waist,2
lacing,2
Press Stud Button Fastening,2
belted,2
Belted,2
Button Up,2
roll-top,2
Rubber Gasket,2
lid,2
belted waist,2
Built-In Cinch Belt,2
Elasticated waistband,2
Elasticated Drawcord Waist,2
Integrated Webbing Belt,2
Two-Way Zip,2
Adjustable Waist,2
Hinge Fastening,2
Button and Zipper,2
Adjustable Buckle Closure,2
Cinch Belt,2
Quick-Toggle Lace System,2
Belt,2
Elastic Waist,2
Metal Buckle,2
Two-way Zip Closure,2
2-Way Zip Closure & Storm Flap,2
Flap Closure,2
Quicklace® Lacing System,2
"Button, Zipper",2
elasticated waistband with drawstring,2
Elasticised side panels,2
Concealed Button,2
1/4 Zip Closure,2
quarter-zip,2
Textile Heel Strap,2
snapback,2
YKK Zipper,2
screw cap,2
hidden drawstring,2
Corozo Buttons,2
adjustable snapback,2
Adjustable,2
Half-Zip Closure,2
dual zip,2
Elasticated Drawcord Waistband,2
Folding Clasp,2
concealed fly,2
Side Zip,2
concealed button placket,2
Press Button Closure,2
Adjustable straps,2
tonal button closure,2
Elastic Lace Closure,2
adjustable,2
"Zip Closure, Buckle Closure",2
cord belt,2
custom-made clasp,2
zip & button,2
Drawstring Elastic Waist,2
½ Button Closure,2
Zipped Main Compartment,2
front snap button,2
hidden zip closure,2
Full Front Zip Opening,2
Elasticated Drawcord,2
popper,2
Tie Waist,2
3 button placket,2
Button & Zip Fly,2
hiking laces,2
pump,2
Adjustable Heel Strap,2
velcro strap,2
YKK Zip,2
¼ Zip,2
front zip closure,2
Sterling Silver Clasp,2
two-way zip,2
drawstring waistband,2
elasticated waist with integrated belt,2
"Elasticated Drawstring Waist, Zip Fly",2
Leakproof TripleHaul™ Cap,2
"Buckle Strap, Lace Closure",2
Toggle Closure,2
button up,2
½ Zip,2
elasticated,2
Hiking Laces,2
Two Way Zip,2
Top Lid Closure,2
Button Closure & Cuffs,2
Zip & Hook Closure,2
pull-on,2
half-zip,2
Zip Top Opening,2
Roll-Top Buckle Closure,2
snap buttons,2
Snap Button Fly,2
"Zip Closure, Code Lock Closure",2
Button Fastening,2
Double Zip Closure,2
Drawstring Toggle,2
zip and button,2
waist tie,2
Zipped,1
mother of pearl buttons,1
latches,1
elastic toggle closure,1
lid latches,1
Velcro Strap,1
Pedal Opening Mechanism,1
Leakproof Hydrolok™ Zipper,1
Adjustable Leather Back Tab,1
"Zipped Main Pocket, Back Snap Closure Slip Pocket",1
zip detail,1
laceless,1
Two-Button Placket,1
Drawstring fastening,1
Mother of Pearl Button,1
Zip & Drawstring,1
Thermo Snap™ Closure,1
hook,1
Adjustable Leather Back Strap,1
2-Way YKK Zip Closure,1
chunky laces,1
Vislon YKK Zip Closure,1
YKK Coil Half Zip,1
Quarter-Zip,1
Elastic Waistband with Drawstring Closing,1
Metal YKK Zip Closure,1
YKK Double Sided Zipper,1
drawcord fastening,1
adjustable hem,1
roll top,1
Straps,1
Buckle Straps,1
Side Zip Pocket,1
"Drawcord Adjustable Waist, Zip Fly",1
Integrated TSA Certified Lock,1
U-Shaped Flap With Zip,1
Adjustable Strap & Buckle Fastening,1
Snap Button & Buckle Closure,1
snap popper,1
Buckle Closure with Adjustable Webbing Strap,1
Elasticated Adjustable Waist,1
2-Way Vislon® Zip,1
Adjustable Rear Leather Fastening,1
pump mechanism,1
Velcro strap,1
Snapback Adjuster,1
Tonal Zip Closure,1
Coated Tonal Zip Closure,1
rolltop with carabiner,1
concealed snap closure,1
Integrated Webbed Belt,1
double ended YKK zip,1
Adjustable Drawstring Waist,1
interlocking hinge system,1
two-way front zip,1
Buttons and zipper,1
Interlock™ Lid System,1
Full-zip,1
Lid latches,1
Coated Zip Closure with Top Flap,1
Rolltop Closure With Snap Compression,1
snap,1
coated zip,1
Folded Zip Closure,1
Rolltop Opening with Carabiner,1
Elasticated Waist with Built-In Belt,1
custom lock closure,1
quarter zip placket,1
Screw Cap,1
flip-up,1
Magnetic Lid,1
press-stud fastening,1
Leather flap,1
lace fastening,1
Concealed Front Fastening,1
Clear Lid,1
wide mouth lid,1
Horn Button Closure,1
snap neck fastening,1
Single Button Closure,1
Horsebit Detail,1
Velcro Closure,1
Robust Vislon® YKK Zipper,1
Velcro Fastening,1
2-way zip,1
Spray,1
"Horn Button Closure, Double Button Closure Hem",1
Adjustable back,1
Roll Top Waterproof Non-Submersive Closure,1
solid lid,1
top cinch closure,1
Easy Press Lid,1
"elasticated waist, drawstring hem",1
easy-press twist cap,1
metallic snap button,1
drawstring and buckle,1
360º HotShot™ cap,1
horn button,1
Zip with covered placket,1
Rambler® Straw Lid,1
Lockdown Latches,1
Pin Buckle Closure,1
Brass Buckle,1
Pin Buckle,1
Bone Buttons,1
lockable valve,1
Leakproof Lid,1
detachable magnetic,1
Magnetised Belt Buckle,1
Corozo Button,1
TripleHaul™ cap,1
_drawstring,1
Coconut Button Closure,1
Corozo Button Closure,1
Front Double Zip,1
three button placket,1
Adjustable Waist Tie,1
Magslider™ Lid,1
Front Facing Leg Zippers,1
"drawstring, zip",1
Chug Cap,1
Straw Lid,1
Metal Buckle Closure,1
tonal buttons,1
faux tortoise buttons,1
Button Down Fastening,1
elasticated waist & drawstring,1
Zip Closures,1
Tonal Button Closure,1
undefined,1
"Li2 BOA Fit System, Dual Power Strap",1
"zip closure, snap buttons",1
no closure,1
2 Way Zip Closure & Storm Flap,1
zip closure & storm flap,1
"Top Drawstring Closure, Front Zip Pocket",1
buckle lid closure,1
Adjustable Snap Back Closure,1
"zip closure, snap button closure",1
zip-up,1
elasticated drawcord waistband,1
YKK zipper,1
Adjustable Straps,1
Elasticated Belted Waist,1
snapback adjuster,1
Integrated Belt With Buckle Closure,1
2 Way-Zip Closure,1
hook & loop,1
internal & external tie closure,1
drawcord elasticated waist,1
decorative lace,1
lace ties,1
Velcro straps,1
elasticated gusset,1
Grosgrain Velcro Straps,1
Elasticated Button Waist,1
button-and-loop fastening,1
Adjustable toggle waist band,1
elasticated Velcro fastening,1
snap-button closure,1
elasticated back tab,1
dual-button,1
elasticated waistband with hidden drawstring,1
"Front Zip Closure, Snap Button Fastening",1
Concealed Zip & Button Closure,1
Button Closure with Zip Fly,1
Toggle & Zip Closure,1
Concealed Closure,1
half button placket,1
button and zip,1
2-Button Placket,1
elasticated waistband with inner drawstring,1
Box Tab Insert Clasp,1
Cotton Lace Up Closure,1
Front Snap Fastening,1
Front Button Fastening,1
¾ Zip Closure,1
Buckle Strap,1
Two Way Hidden Zip Fastening,1
two-way zipper with snap-button flap,1
wrap front with ties,1
two-way zip closure,1
Button & Elasticated Drawstring Waist,1
Drawstring Waist & Zip Fly,1
"Hidden Two Way Zip, Toggle Fastening",1
Waist Tie,1
riveted button,1
Self-Adjust Clasp,1
Adjustable Buckle Clasp,1
drawstrings,1
Buckle Clasp,1
Adjustable Fold-Over Clasp,1
"Snap Button Closure, Side Zip Closure",1
toggle waistband,1
3 Zip Compartments,1
Magnetic Flap Closure,1
Half Zip Around Closure,1
Zip Compartment,1
custom-made lock,1
Cinch Closure,1
Custom Closure,1
Aluminium Carabiner Clip,1
Dropped Cinch Closure,1
Zip with Snap Button Fastening,1
Pin-Buckle,1
Full Button Placket,1
tie,1
zip-fly,1
"Zip Closure, Snap Button Placket",1
tie waist,1
Zip & Lace,1
D-Door Zip Opening,1
"Elasticated Waist, Integrated Belt",1
Adjustable Belt,1
Toggle Waistband,1
"Zip Pockets, Snap Button Pockets, YKK Zip Fly",1
2-Way YKK Zip,1
Hook and Zip Fastening,1
rawhide lace,1
Rawhide Lace,1
¼ Button,1
"Button Fastening, Metal Zipper",1
press stud,1
Deployment Clasp Closure,1
Snap Hook,1
"Elasticated Drawstring Waistband, Zip",1
Double-Ended M6 RiRi Zip,1
Magnetic box clasp,1
D Ring Closure,1
shell buttons,1
Elastic waist with drawcord,1
"2-Way Zip Closure, Press Stud Placket",1
Asymmetric Lace Up,1
button and elasticated waist,1
Zip Closure with Buckle Flap,1
flap closure,1
Adjustable Drawstring Waistband,1
adjustable backstrap,1
Push in Clasp,1
concealed,1
double ended zip,1
bar pin fastening,1
magnetic box clasp,1
adjustable chain,1
double breasted,1
Slip On Design,1
quickLACE™ Closure,1
Elasticated Side Panels,1
button fastenings,1
Cobrax Popper,1
Custom made Tom Wood lock,1
side zip and lace up,1
"Zip closure, Lace fastening",1
2 way zip,1
"zip closure, lace fastening",1
"snap button, zip",1
"lace up, side zip",1
"Button, Zip-fly",1
Exposed Bela Zip,1
"Lace Up, Side Zip",1
Exposed Central Zip,1
"Elasticated Waistband, Integrated Drawstring",1
Exposed Zipper,1
adjustable velcro strap,1
"Elasticated Waist, Zip Cuffs",1
Carabiner Fastening,1
Buttoned placket,1
Coroso Button Closure,1
Front Zip Pocket,1
Front Lace Up Fastening,1
Concealed Button Fastening,1
press stud closure,1
Easy-Lock Closure,1
"2-Way Zip Closure, Corozo Button Closure",1
Buttoned,1
Front Zip Fastening,1
Full Zip,1
Button Zip Closure,1
contrast button,1
Penny Slot,1
Integrated Adjustable Belt,1
snap-button front,1
Kangaroo Pocket,1
Adjustable Rope,1
Wooden Buttons,1
Dual Zip Closure,1
Quicklace System,1
Roll Top with Zip Opening,1
Open compartment without zip,1
bungee-adjustable,1
Buttoned Closure & Cuffs,1
Strap Buckle,1
Quick Link Closure,1
QuickLace Lacing,1
"velcro, laces",1
Secure Zip Closures,1
2 Way Front Zip,1
adjustable belt,1
Drawcord Waistband,1
waterproof zipper,1
Waterproof Zip Closure,1
Roll Top Buckle Closure,1
pin buckle clasp,1
T Bar Closure,1
flat cotton laces,1
Roll-Top,1
Glove-friendly buckles,1
Metal Attachment,1
Hooked Clasp,1
bi-fold,1
Elasticated Inserts,1
engraved press button,1
adjustable opening,1
Adjustable toggle,1
toggle laces,1
"Zip Closure, Button Fastening",1
Lace up,1
quick-lace system,1
quick-toggle laces,1
adjustable Velcro straps,1
single button placket,1
rubberised gasket,1
buttoned strap,1
"button, zipper",1
Claw Clasp Closure,1
Adjustable Tabs,1
Square Metal Buckle,1
1/4 Zip,1
Main Drawstring Closure,1
Pump Dispenser,1
"Built-In Cinch Belt, Elasticated Waistband",1
webbing belt,1
"snap button, front zip",1
Horsebit hardware,1
Magnetic Closure,1
Clasp closure,1
Claw Clasp,1
Adjustable Toggle Closure,1
lacing system,1
1/2 Button Down Front,1
Branded Snap Button Closure,1
Butterfly Backs,1
Revolving Integrated Door,1
Revolving Door,1
Quick Buckle Closure,1
Spring Lobster Clasp,1
Leak Proof Straw Cap,1
Single-prong Bass Metal Buckle,1
Cinch Belt Elasticated Waist,1
Corozo nut buttons,1
Rope Lace Up Closure,1
Quick-release buckle,1
Upcycled Horn Button Closure,1
Built-in Belt,1
Toggle Lace Closure,1
Bungee cord system,1
Lace Lock Toggle,1
bungee-lace system,1
Lace Lock Bungee System,1
Bungee Drawcord Closure,1
bungee-laces,1
crossover closure,1
self tie fastening,1
Tie Belt,1
Japanese Press Snaps,1
Japanese snap closure,1
branded button,1
Rope Laces,1
Corozo Nut Button,1
snap-closure,1
Corozo Nut Button Closure,1
Elasticated,1
drawstring tie,1
"popper fastener, concealed zip",1
Adjustable strap,1
snap closure,1
Adjustable Drawstring,1
Snap,1
silver tone button placket,1
"magnetic closure, zipped interior closure",1
Elasticated waist,1
Rear Strap Fastening,1
Hook & Eye Waist Closure,1
Side Zip Closure,1
Waist Button Details,1
Elastic Drawstring,1
"Zipped Main Compartment, Zipped Front Pocket",1
Belt with D Ring,1
"Elasticated Waistband, Integrated Belt",1
built-in cinch belt,1
Speed Lacing,1
concealed closure,1
2 way zip closure,1
round cotton laces,1
Adjustable Snap Strap,1
polo placket,1
"elasticated waistband, built-in adjustable belt",1
Adjuster Cord,1
Adjustable Waist Tape,1
Adjustable Side Zips,1
Elasticated Waistband with Drawcord,1
Double-Breasted with Horn Button,1
elasticated waist and elongated drawstring,1
Hidden Horn Button Closure,1
Elasticated Waist with Elongated Drawstring,1
Ankle Toggle Bungee,1
horn buttons,1
elasticized band,1
Zip Closure & Covered Placket,1
Robe Tie,1
Two Button Close,1
Covered Full Zip Placket,1
Inner Drawstring Waist,1
Zip fastening,1
Zippers,1
"Main Zip Compartment, Front Zip Compartment",1
Zip Front Pocket,1
"Roll-Top, Zip Side Opening",1
2 Way Lockable Zipper,1
Spring-Ring Fastening,1
Adjustable Clip Fastenings,1
Roll Top Opening,1
Flap Over Opening,1
Adjustable chin cord,1
Adjustable Drawcord Back,1
Dual Zip Opening,1
Adjustable Opening,1
pull string,1
Elasticated Cuff,1
Button & Drawstring Closure,1
Lace Toggle,1
Full-zip front,1
4 Button Placket,1
buttoned tabs,1
Drawstring Hem,1
Bracelet Strap,1
Metal Clasp,1
Hook & Zip Fly,1
Snaffle Detail,1
Button closure,1
button-closure,1
Ribbon Laces,1
buckle strap,1
Fly Zip & Button Closure,1
4 button placket,1
Hook Fastening,1
Release buckle,1
Snap Back Closure,1
Elasticated Waist with Integrated Webbing Belt,1
Concealed Snap Front Closure,1
Drawstring & Zip Closure,1
Buttoned tab waist,1
covered placket,1
"drawstring, zippered",1
ring clasp,1
Concealed Snap Button Closure,1
adjustable buckle closure,1
Hidden Button Placket,1
Removable lid,1
spherical stopper,1
Spring Ring,1
left or right door options,1
Heavy-gauge Zip Closure,1
Adjustable Lobster-Clasp,1
Double Cord Drawstring Hood,1
Zip Fly Closure,1
eyelet lace,1
Concealed Zip & Snap Button Closure,1
Branded Button,1
hiking eyelets,1
Built-In Belt,1
"Concealed Zip Closure, Placket with Button Closure",1
Japanese Press Snap,1
imitation horn buttons,1
"elasticated waist, drawstring hems",1
Manual On/Off Switch,1
Pull Tabs,1
Lock Top Lid,1
Narrow Mouth Lid,1
drawcord waist,1
Plastic D-ring,1
Concealed Zip,1
Zip Closure With Storm Flap,1
Branded Zip Pull,1
"zip fly, drawcord waist",1
adjustable webbing belt,1
Adjustable Branded Belt,1
Adjustable Toggle,1
built-in webbing belt,1
zip fly & button,1
Zip & Fly Closure,1
Drawstring Fastening,1
Snap Button and Zip Fastening,1
screw-lid,1
waistband,1
"drawstring waistband, zip",1
Chin Strap,1
"ECONYL® Snap Button Closure, Climbing Drawstring",1
"Zipper Closure, Collar with Snap Button Closure",1
Zipper Closure,1
Zip & Snap Button Fly,1
Zip Fly & Snap Button Closure,1
Flap,1
Lace Fastening,1
lace-up drawstring,1
Side zip,1
Snap Buttons,1
Concealed Zip and Snap Closure,1
water-repellent zippers,1
YKK® AquaGuard® Highly Water Resistant Zip Closure,1
Adjustable Elastic Back Tab,1
buckle belt,1
Rear Adjustability,1
YKK VISLON® Front Zip with Internal Storm Flap,1
Zip Front Fastening,1
Button and Zip Fastening,1
Branded Button Closure,1
"Magnetic button closure, Roll top",1
"Magnetised Closure, Zip",1
Adjustable Drawcord Closure,1
Back Strap,1
Zip Fly & Hook Closure,1
"Drawstring, Zip Fly",1
Mother-of-Pearl Button,1
Zip Main Compartment,1
Adjustable Velcro Fastening,1
adjustable straps,1
stainless steel button,1
Slip-On,1
slide-on,1
two way zip closure,1
silver-tone hardware,1
Buckle & Zip Closure,1
Press Stud Closures,1
Bi-Fold,1
Elasticated Waist with Integrated Belt,1
Elasticated Waist with Internal Drawstring,1
Waxed Laces,1
Neck Cord,1
one touch open and close,1
Adjustable Buckle,1
adjustable strap with a magnetic pull release,1
Zip & Buckle Closure,1
Hidden Button Closure,1
Adjustable Closure,1
Drawstring Elasticated Waist,1
Strapback,1
Snapback Closure,1
Adjustable Elasticated Waistband,1
toggle lacing system,1
hook and loop,1
Detachable Drawcord,1
Quarter Zip,1
Elastic Drawcord Toggle,1
Elasticated Waist With Integrated Belt,1
Internal Belt,1
"Concealed Zip Closure, Snap Button",1
zip & button closure,1
Pivoting Heel Strap,1
braided drawstring,1
cotton laces,1
cylindrical clasp,1
Cylindrical Clasp,1
Button Down Closure,1
zip & button fly,1
toggle,1
zip pockets,1
Top Zip,1
Automatic Open/Close Push Button,1
automatic push button,1
YKK Vislon Snap Lock Zip,1
Stainless Steel Clasp,1
"single-breasted overlap front, button closure",1
Asymmetric Wrap Button Front,1
Drawstring Opening,1
Centre-front Tie,1
buttons and zipper,1
Herringbone Laces,1
two-button,1
slide,1
full front zip,1
Carry Handle Lid,1
Wooden Lid,1
Twist opening,1
Double Lid Structure,1
plug top,1
2 Way Zip & Snap Button,1
Adjustable Belted Waistband,1
Cinch Opening,1
Full Access Zipper,1
"Main Zip Compartment, Quick Release Buckle",1
slanted front zipper,1
Adjustable Belted Waist,1
slanted two-way zipper,1
Adjustable Waist Toggle,1
Clasp Strap Closure,1
TSA Approved Numerical Locks,1
Nickel Snap Hardware,1
Quick Release Buckles,1
button and drawstring,1
Concealed Snap Closure,1
Secure Zip Pockets,1
adjustable heel strap,1
buckle closure,1
Elasticated Waistband with Drawstring,1
D Ring Details,1
"Zipper, Snap Button",1
Dual Snap Button Closure,1
Zip & Flap Closure,1
Spring Clasp,1
Scissor Clasp,1
post back fastening,1
Post-Back Closure,1
Spring Clasp Closure,1
sterling silver clasp,1
Butterfly Closure,1
Heel strap,1
Front Lace Up Closure,1
Adjustable Snapback,1
zip and buckle fastening,1
Dual Buckle Fastening,1
AquaGuard® Waterproof Zip Closure,1
Engraved Horn Buttons,1
Asymmetric Zip Closure,1
adjustable chin strap,1
Tie-up Laces,1
Asymmetric Drawstring Waist,1
Adjustable Metal Buckle,1
adjustable neck,1
removable lid,1
Adjustable chain strap,1
2-Way Zippered Main Compartment,1
top zip fastening,1
laced,1
1/2 Zip Front,1
1/2 zip closure,1
T-Clasp,1
Snapback Enclosure,1
"Adjustable Chin Strap, Adjustable Back Buckle",1
tonal leather laces,1
